CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-05-01 00:00,75.8,4,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-06-01 00:00,33.5,4,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-07-01 00:00,47.7,4,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-08-01 00:00,54.3,4,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-09-01 00:00,86.8,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-10-01 00:00,68.2,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-11-01 00:00,77.8,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-12-01 00:00,28.4,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-01-01 00:00,35,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-02-01 00:00,24.5,50,,900
